Dataset,Balancing (EnTDA),Base Model,Architecture,Accuracy,Precision,Recall,F1,Status
dreaddit,False,bert,transformer_lstm_crf,0.7664,0.75,0.8182,0.7826,SUCCESS
dreaddit,False,mobilebert,transformer_lstm_crf,0.5701,0.7368,0.2545,0.3784,SUCCESS
dreaddit,False,indobert,transformer_lstm_crf,0.6822,0.6721,0.7455,0.7069,SUCCESS
dreaddit,False,mentalbert,transformer_lstm_crf,0.7757,0.7627,0.8182,0.7895,SUCCESS
dreaddit,True,bert,transformer_lstm_crf,0.757,0.7302,0.8364,0.7797,SUCCESS
dreaddit,True,mobilebert,transformer_lstm_crf,0.6168,0.7917,0.3455,0.481,SUCCESS
dreaddit,True,indobert,transformer_lstm_crf,0.7103,0.7143,0.7273,0.7207,SUCCESS
dreaddit,True,mentalbert,transformer_lstm_crf,0.757,0.7377,0.8182,0.7759,SUCCESS
dreaddit,False,bert,transformer,0.7664,0.7778,0.7636,0.7706,SUCCESS
dreaddit,False,bert,transformer_lstm,0.785,0.7759,0.8182,0.7965,SUCCESS
dreaddit,False,mobilebert,transformer,0.7196,0.7907,0.6182,0.6939,SUCCESS
dreaddit,False,mobilebert,transformer_lstm,0.6636,0.6203,0.8909,0.7313,SUCCESS
dreaddit,False,indobert,transformer,0.6636,0.6727,0.6727,0.6727,SUCCESS
dreaddit,False,indobert,transformer_lstm,0.7009,0.7018,0.7273,0.7143,SUCCESS
dreaddit,False,mentalbert,transformer,0.785,0.7963,0.7818,0.789,SUCCESS
dreaddit,False,mentalbert,transformer_lstm,0.8037,0.7833,0.8545,0.8174,SUCCESS
dreaddit,True,bert,transformer,0.7477,0.7593,0.7455,0.7523,SUCCESS
dreaddit,True,bert,transformer_lstm,0.8131,0.8182,0.8182,0.8182,SUCCESS
dreaddit,True,mobilebert,transformer,0.6916,0.7391,0.6182,0.6733,SUCCESS
dreaddit,True,mobilebert,transformer_lstm,0.7009,0.6533,0.8909,0.7538,SUCCESS
dreaddit,True,indobert,transformer,0.7009,0.6949,0.7455,0.7193,SUCCESS
dreaddit,True,indobert,transformer_lstm,0.7196,0.7451,0.6909,0.717,SUCCESS
dreaddit,True,mentalbert,transformer,0.7757,0.746,0.8545,0.7966,SUCCESS
dreaddit,True,mentalbert,transformer_lstm,0.7944,0.7705,0.8545,0.8103,SUCCESS
Vibree_Synthetic_English,False,bert,transformer,0.6267,0.5922,0.503,0.544,SUCCESS
Vibree_Synthetic_English,False,bert,transformer_lstm,0.6373,0.6056,0.5181,0.5584,SUCCESS
Vibree_Synthetic_English,False,bert,transformer_lstm_crf,0.6173,0.5806,0.488,0.5303,SUCCESS
Vibree_Synthetic_English,False,mobilebert,transformer,0.6467,0.6324,0.4819,0.547,SUCCESS
Vibree_Synthetic_English,False,mobilebert,transformer_lstm,0.6467,0.6209,0.5181,0.5649,SUCCESS
Vibree_Synthetic_English,False,mobilebert,transformer_lstm_crf,0.58,0.5521,0.2711,0.3636,SUCCESS
Vibree_Synthetic_English,False,indobert,transformer,0.632,0.6176,0.4428,0.5158,SUCCESS
Vibree_Synthetic_English,False,indobert,transformer_lstm,0.6453,0.6222,0.506,0.5581,SUCCESS
Vibree_Synthetic_English,False,indobert,transformer_lstm_crf,0.6413,0.6318,0.4548,0.5289,SUCCESS
Vibree_Synthetic_English,False,mentalbert,transformer,0.6413,0.6154,0.506,0.5554,SUCCESS
Vibree_Synthetic_English,False,mentalbert,transformer_lstm,0.64,0.6115,0.512,0.5574,SUCCESS
Vibree_Synthetic_English,False,mentalbert,transformer_lstm_crf,0.64,0.6069,0.5301,0.5659,SUCCESS
Vibree_Synthetic_English,True,bert,transformer,0.62,0.5677,0.5934,0.5803,SUCCESS
Vibree_Synthetic_English,True,bert,transformer_lstm,0.64,0.5901,0.6114,0.6006,SUCCESS
Vibree_Synthetic_English,True,bert,transformer_lstm_crf,0.6067,0.5539,0.5723,0.563,SUCCESS
Vibree_Synthetic_English,True,mobilebert,transformer,0.0,0.0,0.0,0.0,FAILED: Found input variables with inconsistent numbers of
